# Source: https://www.wahl-o-mat.de/bundestagswahl2021/PositionsVergleichBundestagswahl2021.pdf
Pos	CDU	SPD	AFD	FDP	LIN	GRU	FRW	PAR	TSP	NPD	PIR	ODP
1	0.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0
2	1.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0
3	0.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0
4	0.0	0.0	1.0	0.5	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
5	0.5	1.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	0.5	1.0	1.0
6	1.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
7	0.0	1.0	0.0	0.5	1.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0
8	0.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0
9	0.0	0.0	1.0	0.5	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
10	0.5	1.0	1.0	0.0	1.0	1.0	1.0	1.0	0.5	1.0	1.0	1.0
11	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
12	1.0	1.0	1.0	1.0	0.0	0.0	0.5	0.0	0.5	0.0	1.0	0.0
13	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	0.5	1.0	1.0	1.0
14	0.0	1.0	0.0	0.5	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0
15	0.5	1.0	0.0	0.5	1.0	1.0	0.5	1.0	1.0	0.0	0.5	0.0
16	1.0	1.0	1.0	0.5	0.5	0.0	1.0	0.0	0.0	1.0	0.0	0.0
17	1.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	0.5	0.0	1.0	0.0
18	0.0	0.0	0.0	0.5	1.0	1.0	0.5	1.0	1.0	0.0	0.5	1.0
19	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0
20	0.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0
21	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0
22	0.5	0.0	1.0	1.0	0.0	1.0	1.0	1.0	0.5	1.0	1.0	1.0
23	1.0	1.0	0.5	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0
24	0.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0
25	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
26	0.5	1.0	0.0	0.0	1.0	1.0	0.0	1.0	0.5	0.0	0.0	0.0
27	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
28	0.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0
29	1.0	0.0	0.5	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.0
30	1.0	1.0	1.0	1.0	0.0	0.5	1.0	1.0	1.0	0.0	1.0	0.0
31	0.5	1.0	0.0	0.0	1.0	1.0	0.5	1.0	1.0	1.0	1.0	1.0
32	0.5	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0
33	0.5	0.0	0.0	0.5	0.5	1.0	0.0	1.0	1.0	0.0	1.0	1.0
34	1.0	1.0	1.0	1.0	0.0	0.5	1.0	0.0	0.5	0.5	1.0	0.0
35	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.5
36	0.5	1.0	0.0	0.0	1.0	1.0	0.5	1.0	1.0	1.0	1.0	1.0
37	0.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
38	1.0	0.0	1.0	0.5	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0
